datas,Athletico Paranaense ,Atlético Goianiense ,Atlético Mineiro ,Atlético Paranaense ,Avaí ,Bahia ,Botafogo ,Ceará ,Chapecoense ,Corinthians ,Coritiba ,Criciúma ,Cruzeiro ,Figueirense ,Flamengo ,Fluminense ,Fortaleza ,Goiás ,Grêmio ,Grêmio Barueri ,Guarani ,Internacional ,Náutico ,Palmeiras ,Paraná ,Ponte Preta ,Portuguesa ,Red Bull Bragantino ,Santos ,Sport ,São Caetano ,São Paulo ,Vasco ,Vitória 
2007-12-31,0.0,0.0,58.3,54.0,0.0,0.0,41.1,0.0,0.0,134.6,14.9,0.0,77.6,18.9,89.4,39.3,0.0,39.7,109.0,21.0,0.0,155.8,0.0,86.2,24.9,0.0,12.4,0.0,53.1,0.0,23.2,190.0,51.0,0.0
2008-01-31,0.0,0.0,58.24166666666667,53.19166666666666,0.0,0.0,41.96666666666667,0.0,0.0,133.17499999999998,16.791666666666668,0.0,78.96666666666667,19.683333333333334,91.775,41.55833333333333,0.0,38.108333333333334,108.16666666666667,19.25,0.0,154.65833333333333,0.0,90.58333333333334,24.275,0.0,15.291666666666668,0.0,54.11666666666667,0.0,23.266666666666666,187.54166666666666,51.083333333333336,1.5666666666666667
2008-02-29,0.0,0.0,58.18333333333334,52.383333333333326,0.0,0.0,42.833333333333336,0.0,0.0,131.74999999999997,18.683333333333334,0.0,80.33333333333334,20.46666666666667,94.15,43.81666666666666,0.0,36.516666666666666,107.33333333333334,17.5,0.0,153.51666666666665,0.0,94.96666666666668,23.65,0.0,18.183333333333334,0.0,55.13333333333333,0.0,23.333333333333332,185.08333333333331,51.16666666666667,3.1333333333333333
2008-03-31,0.0,0.0,58.12500000000001,51.57499999999999,0.0,0.0,43.7,0.0,0.0,130.32499999999996,20.575,0.0,81.70000000000002,21.250000000000004,96.525,46.074999999999996,0.0,34.925,106.50000000000001,15.75,0.0,152.37499999999997,0.0,99.35000000000002,23.025,0.0,21.075,0.0,56.15,0.0,23.4,182.62499999999997,51.25000000000001,4.7
2008-04-30,0.0,0.0,58.06666666666668,50.76666666666665,0.0,0.0,44.56666666666667,0.0,0.0,128.89999999999995,22.466666666666665,0.0,83.06666666666669,22.03333333333334,98.9,48.33333333333333,0.0,33.33333333333333,105.66666666666669,14.0,0.0,151.2333333333333,0.0,103.73333333333336,22.4,0.0,23.966666666666665,0.0,57.166666666666664,0.0,23.466666666666665,180.16666666666663,51.33333333333334,6.266666666666667
2008-05-31,0.0,0.0,58.00833333333335,49.958333333333314,0.0,0.0,45.43333333333334,0.0,0.0,127.47499999999995,24.35833333333333,0.0,84.43333333333337,22.816666666666674,101.275,50.59166666666666,0.0,31.74166666666666,104.83333333333336,12.25,0.0,150.0916666666666,0.0,108.1166666666667,21.775,0.0,26.85833333333333,0.0,58.18333333333333,0.0,23.53333333333333,177.7083333333333,51.41666666666668,7.833333333333333
2008-06-30,0.0,0.0,57.95000000000002,49.14999999999998,0.0,0.0,46.300000000000004,0.0,0.0,126.04999999999995,26.249999999999996,0.0,85.80000000000004,23.60000000000001,103.65,52.849999999999994,0.0,30.14999999999999,104.00000000000003,10.5,0.0,148.94999999999993,0.0,112.50000000000004,21.15,0.0,29.749999999999996,0.0,59.199999999999996,0.0,23.599999999999998,175.24999999999994,51.500000000000014,9.4
2008-07-31,0.0,0.0,57.89166666666669,48.34166666666664,0.0,0.0,47.16666666666667,0.0,0.0,124.62499999999996,28.141666666666662,0.0,87.16666666666671,24.383333333333344,106.025,55.10833333333333,0.0,28.558333333333323,103.1666666666667,8.75,0.0,147.80833333333325,0.0,116.88333333333338,20.525,0.0,32.641666666666666,0.0,60.21666666666666,0.0,23.666666666666664,172.7916666666666,51.58333333333335,10.966666666666667
2008-08-31,0.0,0.0,57.83333333333336,47.5333333333333,0.0,0.0,48.03333333333334,0.0,0.0,123.19999999999996,30.033333333333328,0.0,88.53333333333339,25.16666666666668,108.4,57.36666666666666,0.0,26.966666666666654,102.33333333333337,7.0,0.0,146.66666666666657,0.0,121.26666666666672,19.9,0.0,35.53333333333333,0.0,61.23333333333333,0.0,23.73333333333333,170.33333333333326,51.666666666666686,12.533333333333333
2008-09-30,0.0,0.0,57.77500000000003,46.724999999999966,0.0,0.0,48.900000000000006,0.0,0.0,121.77499999999996,31.924999999999994,0.0,89.90000000000006,25.950000000000014,110.775,59.62499999999999,0.0,25.374999999999986,101.50000000000004,5.25,0.0,145.5249999999999,0.0,125.65000000000006,19.275,0.0,38.425,0.0,62.24999999999999,0.0,23.799999999999997,167.87499999999991,51.75000000000002,14.1
2008-10-31,0.0,0.0,57.7166666666667,45.91666666666663,0.0,0.0,49.76666666666667,0.0,0.0,120.34999999999997,33.81666666666666,0.0,91.26666666666674,26.73333333333335,113.15,61.883333333333326,0.0,23.783333333333317,100.66666666666671,3.5,0.0,144.3833333333332,0.0,130.0333333333334,18.65,0.0,41.31666666666666,0.0,63.26666666666666,0.0,23.866666666666664,165.41666666666657,51.83333333333336,15.666666666666666
2008-11-30,0.0,0.0,57.65833333333337,45.10833333333329,0.0,0.0,50.63333333333334,0.0,0.0,118.92499999999997,35.70833333333333,0.0,92.63333333333341,27.516666666666683,115.525,64.14166666666667,0.0,22.19166666666665,99.83333333333339,1.75,0.0,143.24166666666653,0.0,134.4166666666667,18.025,0.0,44.20833333333333,0.0,64.28333333333333,0.0,23.93333333333333,162.95833333333323,51.91666666666669,17.233333333333334
