date,BBAS3,BBDC4,BIDI11,BPAC11,BPAN4,ITUB4,SANB11
2021-01-04,-0.031185664485379738,-0.026160673341769525,-0.02082293370820254,-0.022233940556088294,-0.017838889014028858,-0.02261570520723144,-0.009368527166492613
2021-01-05,-0.04123720787129326,-0.03209793167401753,-0.04367705333197114,-0.035531683082018706,-0.022036085376959336,-0.028942010196533863,-0.027882975108997177
2021-01-06,-0.020876431938127937,-0.0018627108700273176,-0.06287467238322031,-0.06893619803015782,-0.03357864353220941,-0.0020560093534507384,-0.0037919321446930887
2021-01-07,0.0195874307668642,0.026529312773801772,-0.001523770608029107,-0.030871175804061957,-0.01573975451818055,0.0384310699997612,0.034575143252040474
2021-01-08,0.02551539220679122,0.017679845349607204,0.22021305954049053,-0.010942212150265918,0.004197196362930367,0.038114913822586693,0.02364506783269049
2021-01-11,0.008762819896935614,-0.0003877289308141796,0.2981208252207368,-0.04833609343676459,0.02833134360697187,0.014708221651329456,0.0012162034073517347
2021-01-12,0.01804101811654779,-0.001125007794878674,0.28024358374258473,-0.010192190359975761,0.02518317817758242,0.017871374145980612,0.011293208446743641
2021-01-13,-0.03221669881301936,-0.01624304240795782,0.2664296289068162,-0.022192539004619705,0.006295258230012424,0.0011071431412004173,0.0021119654238404006
2021-01-14,-0.03453617894735084,0.013992602607116655,0.31366163876238273,-0.019406868299486013,0.046170232621000507,0.03083974262103384,0.030103702559236778
2021-01-15,-0.06443311994375267,-0.014030357393596149,0.27983740754688835,-0.04908611522705508,-0.004197196362930589,-0.008065760484852635,-0.02140146986288094
2021-01-18,-0.07396928500698918,-0.010712178294221553,0.34281362397903314,-0.011371045062320562,-0.008394392725860733,-0.013126645404004211,-0.016474905830635378
2021-01-19,-0.08969082298920528,-0.026567067560281266,0.37125419097904655,0.019487056567593086,-2.220446049250313e-16,-0.02482999148963283,-0.037748809017693064
2021-01-20,-0.11005159892237049,-0.04684690264398017,0.4017265537687942,0.006093872570382297,0.017837816385262384,-0.040961512459337435,-0.062381629178920206
2021-01-21,-0.11907238566293032,-0.06048995531784629,0.35642449071695315,-0.005478078968012223,-0.008394392725860955,-0.053929880934390884,-0.0849990483322689
