date,ALPA4,AMAR3,ARZZ3,CEAB3,CGRA4,ENJU3,GRND3,GUAR3,LREN3,SOMA3,TFCO4,VULC3
2021-01-04,-0.008333513894807298,-0.03230590932001254,-0.002640110145318064,-0.007757951900698279,0.026571684438533083,-0.0039215686274510775,-0.009545446771899946,-0.0476189142170389,-0.030546543088584732,-0.017923823749066536,-0.0069821251652869565,-0.010012652351607976
2021-01-05,-0.007857313100818386,-0.03524339387012798,-0.017893865524295616,-0.04654771140418934,0.05657165775924211,-1.1102230246251565e-16,-0.015512666528975205,-0.023473984407172743,-0.03996319088797751,-0.017923823749066536,-0.04577205695487385,-0.022528467791117945
2021-01-06,-0.06190489947540878,-0.09544898568497984,-0.07920211719293258,-0.061287820015515915,0.036571675545435944,-0.011764705882353121,-0.034606191122050434,-0.06706932728968862,-0.08635747558950402,-0.047796863330843986,-0.06904554685233544,-0.035044283230627804
2021-01-07,-0.07857144576775943,-0.10279109187745405,-0.07714876414471894,-0.11636927851047318,0.05714289102132186,-0.08156862745098037,-0.05966561994756325,-0.07310503447174588,-0.06407915239668993,-0.04406273338312183,-0.023273489897461586,-0.03254112014272581
2021-01-08,-0.03095257011202035,-0.08076477330003129,-0.05984165571752764,-0.05042668735453837,0.11142872642254731,-0.021960784313725612,-0.004772723385949917,-0.027498256102241214,-0.01010560209483058,-0.0522778192681107,-0.022497785096928125,-0.01126488406778936
2021-01-11,-0.052143023947266554,-0.10425983415251183,-0.07450865399940076,-0.07292474786656322,0.11428578204264372,-0.05882352941176483,-0.017899028221949997,-0.0657274364843019,-0.04800193009649423,-0.04032860343539968,-0.03568633062696824,-0.021276236074936006
2021-01-12,-0.05571428915355192,-0.08663813721744784,-0.06409512528614392,-0.07913110938712176,0.15428574647025584,0.050980392156862564,-0.03460619112205032,-0.011401869682512444,-0.03766659119757132,-0.006721433905899965,-0.049650580957542045,-0.02377939916283811
2021-01-13,-0.04904771878633796,-0.12041118362970371,-0.06424174036250696,-0.07680372381691214,0.171714437913288,0.09176470588235275,-0.022673067132537694,-0.03286371824215095,-0.04915035800011647,-0.0037341299477222645,-0.06516702284966747,-0.01501897852741163
2021-01-14,-0.02142855423224055,-0.08957401658474906,-0.02889415133465678,-0.053529868114817525,0.17828584370144918,0.20313725490196055,-0.009545446771899613,-0.022803739365025,-0.0036747643981197564,0.03360716952949949,-0.030255615062748542,0.023779399162838555
2021-01-15,-0.021666654629235005,-0.10572697124475527,-0.011293664358913325,-0.03956555469356071,0.17000014525391705,0.2196078431372548,-0.019092209068437227,-0.02883944654708226,-0.01056507570301457,0.08663181478715454,-0.01629136473217485,0.0012509313717206094
2021-01-18,0.005237967985246783,-0.09691772796003773,0.007773566963765299,-0.04422032583397972,0.19314294793714204,0.2196078431372548,-0.04057209535448758,-0.015426141377581026,-0.00941664779939233,0.12696041822255388,-0.03801422698905366,0.016269909899132573
2021-01-19,0.0,-0.09838486505228117,0.03036074728576632,-0.03956555469356071,0.19714306295452944,0.18274509803921557,-0.02744579051848739,-0.024815174852013677,0.008268219895771312,0.16728902165795345,-0.064391318049134,0.011263583723328585
2021-01-20,-0.002381003969945006,-0.06314307636496763,0.026694034814254586,-0.03413498836307216,0.17885737340009444,0.26274509803921564,-0.04773249595805018,-0.04493653332735681,-0.009876121407576655,0.17326362957430885,-0.05740919288384716,0.016269909899132573
2021-01-21,-0.019047791010927573,-0.1057269712447555,0.026694034814254586,-0.036462373933281556,0.13428576425644922,0.26274509803921564,-0.06563152418000018,-0.04225345207712905,-0.027101515494555972,0.15758028379387556,-0.007757829965820973,-0.0012522317161812735
2021-01-22,-0.03666673889125627,-0.1101331980699286,0.019067082926852663,-0.06826997672614432,0.11142872642254686,0.2596078431372546,-0.07398510563005045,-0.0576795934547103,-0.05787779538723281,0.11949215832710935,0.008533534766353768,0.008760420635426591
2021-01-26,-0.027857264951091754,-0.10279109187745428,0.012173651608744507,-0.04344453064390996,0.09857167969554759,0.2580392156862743,-0.07517828647653801,-0.0395703708269014,-0.04869088439193203,0.17475728155339754,0.03878993178958656,0.040049309061970906
2021-01-27,-0.04404761044945349,-0.11306907743722971,0.04180102672104313,-0.028704422032583388,0.04000026086417763,0.2596078431372546,-0.08114550623361316,-0.024144929809865823,-0.04248978349931354,0.15011202389843126,0.08611339834552756,0.01752214161531418
2021-01-28,-0.03928584325819551,-0.04699012170496142,0.06468173398742305,0.015515903801396558,0.0777144029337733,0.28627450980392144,-0.057279258254587795,0.03957107118744774,-0.007120048108986365,0.1508588498879755,0.08068268278130786,0.0463078669539565
2021-01-29,-0.07523828095846818,-0.08076477330003151,0.03505421047929813,-0.03025601241272291,0.0014288242466138357,0.2431372549019608,-0.07995232538712571,0.002683081250228092,-0.04754245648830979,0.11799850634802045,0.07835556837970703,0.022528467791118167
2021-02-01,-0.07666664259180334,-0.08076477330003151,0.05456143542689196,-0.018619084561675603,0.00628593737540406,0.31372549019607865,-0.07756464816951292,0.012743060127353933,-0.05672936748361057,0.1404032860343536,0.08611339834552756,0.09386666527963272
2021-02-02,-0.07071437341557285,-0.07782728874991607,0.06336160471685082,-0.032583397982932416,0.0008572945479681238,0.38352941176470634,-0.06324516248702527,0.010730924279819698,-0.05810753219132503,0.1448842419716201,0.09387122831134809,0.09762206008371632
2021-02-03,-0.03309523293633865,-0.07048518255744196,0.06336160471685082,-0.03956555469356082,0.07142876199493498,0.49019607843137303,-0.07875782901600048,0.016767331822422626,-0.03904449978844682,0.12994772218073147,0.09231981871028094,0.11013787552322629
2021-02-04,-0.023809558202185332,-0.08223191039227506,0.09284251314861258,-0.04111714507370057,0.042857316484274044,0.6392156862745102,-0.07875782901600048,0.016096386419729436,-0.050528266590991966,0.13218820014936483,0.07059773841388672,0.1076347124353243
